Label	Gene	Product																	RheaRid	AnnotatedRid	CreationDate	AmigeneStatus	PubmedID	BioProcess	Matrix	Annotator	Atot	Ctot	Gtot	Ttot	GCtot	ATtot	A1	C1	G1	T1	GC1	AT1	A2	C2	G2	T2	GC2	AT2	A3	C3	G3	T3	GC3	AT3	CAI	MW	KD	Tiny	Small	Aliphatic	Aromatic	Non_Polar	Polar	Charged	Basic	Acidic	Pi	OI
BSU00240	csfB	forespore-specific anti-sigma factor																			26/09/2011 10:32	no	15044948, 8759874, 21935351	16.5 : Explore ;	3	adanchin	0.369231	0.159	0.164103	0.307692	0.323077	0.676923	0.369231	0.153846	0.215385	0.261538	0.369231	0.630769	0.4	0.215385	0.123077	0.261538	0.338462	0.661538	0.338462	0.107692	0.153846	0.4	0.261538	0.738462	0.618259	7438.325	-0.396875	0.265625	0.484375	0.21875	0.140625	0.46875	0.53125	0.3125	0.1875	0.125	7.65641	9.15625
BSU00250	xpaC	putative phosphatase																			07/05/2007 17:36	no		16.11 : Scavenge (Catabolism) ; 16.3 : Control ;	2	adanchin	0.325203	0.1528	0.21626	0.305691	0.369106	0.630894	0.326829	0.156098	0.258537	0.258537	0.414634	0.585366	0.331707	0.185366	0.146341	0.336585	0.331707	0.668293	0.317073	0.117073	0.243902	0.321951	0.360976	0.639024	0.481483	23958.155	-0.193137	0.245098	0.338235	0.230392	0.147059	0.509804	0.490196	0.289216	0.181373	0.107843	9.764336	8.602941
BSU00260	yaaN	conserved hypothetical protein																			07/05/2007 17:39	no	12533473		3	adanchin	0.362618	0.1697	0.233419	0.234281	0.403101	0.596899	0.341085	0.22739	0.315245	0.116279	0.542636	0.457364	0.418605	0.165375	0.113695	0.302326	0.27907	0.72093	0.328165	0.116279	0.271318	0.284238	0.387597	0.612403	0.505928	43828.425	-0.50285	0.212435	0.396373	0.264249	0.049223	0.443005	0.556995	0.310881	0.15544	0.15544	5.709236	8.761658
BSU00270	yaaO	putative decarboxylase																			06/10/2014 08:52	no	9723923, 20876533, 24529384	16.11 : Scavenge (Catabolism) ;	2	adanchin	0.291753	0.2024	0.227304	0.278586	0.42966	0.57034	0.288981	0.224532	0.326403	0.160083	0.550936	0.449064	0.326403	0.239085	0.130977	0.303534	0.370062	0.629938	0.259875	0.143451	0.224532	0.372141	0.367983	0.632017	0.551186	53161.795	-0.143542	0.266667	0.4875	0.252083	0.110417	0.541667	0.458333	0.258333	0.135417	0.122917	5.745659	9.03125
BSU00280	tmk	thymidylate kinase																		DTMPKI-RXN ;	07/05/2007 18:45	no	12682299, 9696781	16.2 : Construct biomass (Anabolism) ;	1	adanchin	0.328638	0.169	0.242567	0.259781	0.411581	0.588419	0.28169	0.197183	0.375587	0.14554	0.57277	0.42723	0.356808	0.169014	0.14554	0.328638	0.314554	0.685446	0.347418	0.140845	0.206573	0.305164	0.347418	0.652582	0.539899	23865.495	-0.204245	0.226415	0.424528	0.259434	0.089623	0.542453	0.457547	0.29717	0.136792	0.160377	5.050316	9.377358
BSU00290	darA	signal transduction receptor, cyclic di-AMP binding																			22/12/2014 16:49	no	10913081, 25433025		3	adanchin	0.315152	0.1909	0.227273	0.266667	0.418182	0.581818	0.309091	0.172727	0.372727	0.145455	0.545455	0.454545	0.318182	0.2	0.136364	0.345455	0.336364	0.663636	0.318182	0.2	0.172727	0.309091	0.372727	0.627273	0.586281	11966.25	-0.048624	0.256881	0.550459	0.256881	0.091743	0.550459	0.449541	0.229358	0.119266	0.110092	6.098351	9.247706
BSU00300	yaaR	conserved hypothetical protein																			07/05/2007 18:51	no			3	adanchin	0.376417	0.1542	0.21542	0.253968	0.369615	0.630385	0.401361	0.163265	0.272109	0.163265	0.435374	0.564626	0.37415	0.170068	0.136054	0.319728	0.306122	0.693878	0.353741	0.129252	0.238095	0.278912	0.367347	0.632653	0.505451	16685.655	-0.459589	0.239726	0.410959	0.246575	0.068493	0.431507	0.568493	0.335616	0.184932	0.150685	9.245018	8.082192
BSU00310	holB	DNA polymerase III delta' subunit																		DNA-DIRECTED-DNA-POLYMERASE-RXN ;	20/02/2012 17:55	no	12060778, 12682299, 8509334	16.9 : Replicate ;	2	ebelda	0.330303	0.196	0.221212	0.252525	0.417172	0.582828	0.290909	0.245455	0.281818	0.181818	0.527273	0.472727	0.384848	0.181818	0.118182	0.315152	0.3	0.7	0.315152	0.160606	0.263636	0.260606	0.424242	0.575758	0.493846	37619.98	-0.3231	0.221884	0.389058	0.240122	0.100304	0.50152	0.49848	0.279635	0.151976	0.12766	6.337929	8.972644
BSU00320	rnyT	subunit of a sporulation, competence and biofilm formation regulatory complex of RNaseY																			19/10/2015 15:58	no	12270811, 23490197, 26434553	16.3 : Control ;	1	adanchin	0.304348	0.1691	0.259662	0.266908	0.428744	0.571256	0.275362	0.177536	0.387681	0.15942	0.565217	0.434783	0.358696	0.141304	0.15942	0.34058	0.300725	0.699275	0.278986	0.188406	0.231884	0.300725	0.42029	0.57971	0.519835	31199.79	-0.111636	0.218182	0.461818	0.276364	0.090909	0.545455	0.454545	0.309091	0.141818	0.167273	5.025536	9.745455
BSU00330	dnaH	subunit of the DNA replication complex																			04/11/2013 11:04	no	15927750, 16461910, 19737352, 21895792, 23909787	16.3 : Control ; 16.9 : Replicate ;	2	adanchin	0.372222	0.15	0.227778	0.25	0.377778	0.622222	0.291667	0.233333	0.283333	0.191667	0.516667	0.483333	0.516667	0.091667	0.133333	0.258333	0.225	0.775	0.308333	0.125	0.266667	0.3	0.391667	0.608333	0.556434	14080.36	-0.95042	0.184874	0.336134	0.210084	0.12605	0.394958	0.605042	0.394958	0.210084	0.184874	6.079445	9.151261
BSU00340	trmN	tRNA1(Val) (adenine(37)-N6)-methyltransferase																			30/04/2016 19:30	no	24809820	10.3 : tRNA and rRNA base modification ; 16.2 : Construct biomass (Anabolism) ; 16.3 : Control ;	1	adanchin	0.325269	0.1935	0.229839	0.251344	0.423387	0.576613	0.310484	0.233871	0.310484	0.145161	0.544355	0.455645	0.387097	0.157258	0.133065	0.322581	0.290323	0.709677	0.278226	0.189516	0.245968	0.28629	0.435484	0.564516	0.53425	28280.69	-0.31336	0.190283	0.421053	0.271255	0.101215	0.526316	0.473684	0.307692	0.165992	0.1417	6.491524	9.161943
BSU00350	yazA	putative UvrC-Intron-type (URI) endonuclease																			07/05/2007 17:46	no	11483577	16.6 : Maintain ; 16.11 : Scavenge (Catabolism) ;	1	adanchin	0.38	0.1633	0.24	0.216667	0.403333	0.596667	0.37	0.15	0.3	0.18	0.45	0.55	0.49	0.16	0.14	0.21	0.3	0.7	0.28	0.18	0.28	0.26	0.46	0.54	0.507101	11877.13	-1.063636	0.212121	0.40404	0.141414	0.171717	0.434343	0.565657	0.383838	0.252525	0.131313	9.629646	9.949495
BSU00360	rsmI	ribosomal RNA small subunit methyltransferase I																			06/10/2014 08:54	no	16014871, 19965768	16.3 : Control ; 16.8 : Protect ;	2	adanchin	0.328783	0.1809	0.251422	0.238908	0.432309	0.567691	0.313993	0.170648	0.365188	0.150171	0.535836	0.464164	0.375427	0.208191	0.146758	0.269625	0.354949	0.645051	0.296928	0.163823	0.242321	0.296928	0.406143	0.593857	0.532318	33041.405	-0.429452	0.260274	0.441781	0.219178	0.109589	0.506849	0.493151	0.321918	0.160959	0.160959	5.622078	9.328767
BSU00370	abrB	transcriptional regulator for transition state genes																			21/03/2007 08:05	no	16159768, 16223496, 16702211, 10754235, 10809710, 11101881, 11101897	16.3 : Control ;	3	adanchin	0.360825	0.1649	0.189003	0.285223	0.353952	0.646048	0.350515	0.206186	0.350515	0.092784	0.556701	0.443299	0.391753	0.123711	0.14433	0.340206	0.268041	0.731959	0.340206	0.164948	0.072165	0.42268	0.237113	0.762887	0.864507	10772.155	-0.217708	0.208333	0.416667	0.302083	0.03125	0.510417	0.489583	0.3125	0.15625	0.15625	6.508293	8.875
BSU00380	metS	methionyl-tRNA synthetase																		METHIONINE--TRNA-LIGASE-RXN ;	29/11/2006 11:50	no	11233169, 12682299, 12792655	16.2 : Construct biomass (Anabolism) ;	2	adanchin	0.326316	0.1875	0.233584	0.252632	0.421053	0.578947	0.27218	0.2	0.354887	0.172932	0.554887	0.445113	0.386466	0.195489	0.12782	0.290226	0.323308	0.676692	0.320301	0.166917	0.218045	0.294737	0.384962	0.615038	0.654577	76185.135	-0.441867	0.21988	0.435241	0.228916	0.118976	0.524096	0.475904	0.305723	0.143072	0.162651	5.138329	9.429217
BSU00390	yabD	D-amino acyl-tRNA deacylase																			19/10/2015 16:08	no	10747959, 16014871, 16461678, 19332551	16.6 : Maintain ; 16.11 : Scavenge (Catabolism) ;	2	adanchin	0.325521	0.1693	0.253906	0.251302	0.423177	0.576823	0.3125	0.148438	0.390625	0.148438	0.539062	0.460938	0.371094	0.203125	0.125	0.300781	0.328125	0.671875	0.292969	0.15625	0.246094	0.304688	0.402344	0.597656	0.578521	29231.38	-0.31451	0.223529	0.439216	0.219608	0.117647	0.529412	0.470588	0.337255	0.152941	0.184314	4.989861	9.992157
BSU00400	yabE	putative cell wall shaping enzyme																			17/12/2008 10:00	no	15774001, 19047346	16.13 : Shape ;	1	adanchin	0.369863	0.1788	0.236682	0.214612	0.415525	0.584475	0.376712	0.116438	0.378995	0.127854	0.495434	0.504566	0.390411	0.237443	0.116438	0.255708	0.353881	0.646119	0.342466	0.182648	0.214612	0.260274	0.39726	0.60274	0.547855	47690.44	-0.469565	0.306636	0.530892	0.221968	0.059497	0.450801	0.549199	0.320366	0.176201	0.144165	8.942314	8.324943
BSU00410	rnmV	ribonuclease M5																		3.1.26.8-RXN ;	18/10/2012 11:42	no	11233981, 11976317, 12794188, 16077031	16.6 : Maintain ;	1	ebelda	0.31016	0.1907	0.270945	0.228164	0.461676	0.538324	0.320856	0.203209	0.368984	0.106952	0.572193	0.427807	0.363636	0.187166	0.171123	0.278075	0.358289	0.641711	0.245989	0.181818	0.272727	0.299465	0.454545	0.545455	0.505659	20672.955	-0.44086	0.258065	0.451613	0.231183	0.05914	0.494624	0.505376	0.349462	0.188172	0.16129	6.686134	9.27957
BSU00420	ksgA	dimethyladenosine 16S ribosomal RNA transferase																		RXN-11633 ;	07/05/2007 20:05	no	11327780, 6801425, 99430	16.6 : Maintain ; 16.8 : Protect ;	2	adanchin	0.309443	0.2048	0.229807	0.255973	0.434585	0.565415	0.307167	0.201365	0.341297	0.150171	0.542662	0.457338	0.348123	0.215017	0.09215	0.34471	0.307167	0.692833	0.273038	0.197952	0.255973	0.273038	0.453925	0.546075	0.566385	32719.705	-0.061301	0.226027	0.458904	0.280822	0.078767	0.534247	0.465753	0.267123	0.133562	0.133562	5.82267	8.856164
BSU00430	yabG	sporulation-specific protease																			17/12/2008 09:52	no	10714992, 11040425, 16751597, 19060142	16.5 : Explore ; 16.13 : Shape ;	1	adanchin	0.315006	0.1753	0.247423	0.262314	0.42268	0.57732	0.305842	0.206186	0.316151	0.171821	0.522337	0.477663	0.38488	0.164948	0.151203	0.298969	0.316151	0.683849	0.254296	0.154639	0.274914	0.316151	0.429553	0.570447	0.508963	33285.005	-0.404483	0.227586	0.42069	0.234483	0.131034	0.510345	0.489655	0.313793	0.189655	0.124138	8.997963	9.234483
BSU00440	veg	conserved hypothetical protein																			07/03/2014 08:10	no	12761295, 23378512	16.11 : Scavenge (Catabolism) ;	2	adanchin	0.295019	0.1686	0.252874	0.283525	0.421456	0.578544	0.310345	0.114943	0.344828	0.229885	0.45977	0.54023	0.321839	0.252874	0.149425	0.275862	0.402299	0.597701	0.252874	0.137931	0.264368	0.344828	0.402299	0.597701	0.474981	9549.345	-0.339535	0.325581	0.523256	0.22093	0.081395	0.465116	0.534884	0.27907	0.127907	0.151163	5.014534	8.895349
BSU00450	sspF	small acid-soluble spore protein (alpha/beta-type SASP)																			07/05/2007 20:20	no	11092849, 7959056, 8982008	16.5 : Explore ; 16.8 : Protect ;	2	adanchin	0.306452	0.1667	0.290323	0.236559	0.456989	0.543011	0.274194	0.193548	0.403226	0.129032	0.596774	0.403226	0.403226	0.129032	0.241935	0.225806	0.370968	0.629032	0.241935	0.177419	0.225806	0.354839	0.403226	0.596774	0.60805	7003.57	-0.955738	0.245902	0.442623	0.147541	0.081967	0.491803	0.508197	0.327869	0.180328	0.147541	9.301842	11.081967
