Name	Locus_tag	StartV3	EndV3	StartV2	EndV2	Strand	Keeptot	Keeptrim	Id260210	OrigId	classif	S1_1_hyb28384002	S1_2_hyb28358602	S1_3_hyb29569102	S2_1_hyb28345202_01	S2_2_hyb28438702_01	S2_3_hyb29584002	S3_1_hyb28353902	S3_2_hyb28407302_01	S3_3_hyb29593702	S4_1_hyb28353602_01	S4_2_hyb29633702	S4_3_hyb29593902	S5_1_hyb28387702	S5_2_hyb29581902	S5_3_hyb29636602	S6_1_hyb28357602	S6_2_hyb29634602	S6_3_hyb29637702	nit_1_hyb32848302	nit_2_hyb32848802	nit_3_hyb32848702	ferm_1_hyb32835902	ferm_2_hyb32848502	ferm_3_hyb32875102	T.4.40H_1_hyb32876002	T.3.40H_1_hyb32860502	T.2.40H_1_hyb32875702	T.1.40H_1_hyb32874902	T.1.10H_1_hyb32875902	T.0.40H_1_hyb32860902	T0.0H_1_hyb32860102	T0.30H_1_hyb32876202	T1.0H_1_hyb34436402	T1.30H_1_hyb34528602	T2.0H_1_hyb34508402	T2.30H_1_hyb34549502	T3.0H_1_hyb34489302	T3.30H_1_hyb34489502	T4.0H_1_hyb34533902	T5.0H_1_hyb34489402	HiTm_1_hyb25345002	HiTm_2_hyb25344702	HiTm_3_hyb25347002	LoTm_1_hyb25348402	LoTm_2_hyb25348102	LoTm_3_hyb25348002	HiOs_1_hyb25346802	HiOs_2_hyb25344902	HiOs_3_hyb25347502	Heat_1_hyb25340602	Heat_2_hyb25344602	Heat_3_hyb25341002	Cold_1_hyb25347802	Cold_2_hyb25344502	Cold_3_hyb25340802	Etha_1_hyb25348602	Etha_2_hyb25340502	Etha_3_hyb25340702	Salt_1_hyb25345102	Salt_2_hyb25344802	Salt_3_hyb25347202	M40t45_1_hyb25414802	M40t45_2_hyb28390602	M40t45_3_hyb28463502	M40t90_1_hyb27061602	M40t90_2_hyb28384202_01	M40t90_3_hyb28384802_01	dia5_1_hyb25337802	dia5_2_hyb25340002	dia5_3_hyb25348502	dia15_1_hyb25321902	dia15_2_hyb25339602	dia15_3_hyb25339402	Diami_1_hyb27744802	Diami_2_hyb32848002	Diami_3_hyb27744702	Paraq_1_hyb29583002	Paraq_2_hyb32848102	H2O2_1_hyb32848202	H2O2_2_hyb32844902	H2O2_3_hyb27746602
gyrB	BSU00060	4867	6783	4866	6782	1	TRUE	TRUE	-	-	-	0.2116	-0.1646	-0.1253	-0.701	-1.0055	-1.0732	0.0602	-0.2052	-0.7259	-0.0151	-0.4784	-0.9079	-0.6442	-0.7705	-0.8266	-0.73	-4.1389	-1.2756	-0.9878	0.1579	-0.9719	-1.3118	-0.2337	-0.4337	-0.1722	-0.4569	-0.6114	-0.7241	-0.5974	-0.4662	-0.5829	-1.2115	-1.7165	-2.0642	-2.2348	-1.4121	-1.8249	-1.3581	-1.3196	-1.9051	0.3164	0.1869	0.0196	0.501	0.0588	-0.0164	0.3924	0.2684	0.2602	0.2991	0.2899	-0.2543	1.3778	0.8728	0.2512	-3.0556	-3.0299	-2.8647	0.2307	0.1082	0.2536	-0.0679	-0.3707	0.1355	0.6086	0.0913	0.6051	-0.914	-0.6992	-0.9351	0.3969	0.4925	-0.9146	-0.3876	0.0327	-0.5457	0.5528	0.809	0.9014	1.0157	0.1434
S6	new_6784_6993	6784	6993	6783	6992	1	TRUE	TRUE	Id260210_7	O_7	intra	0.4577	-0.0916	0.2088	-0.0006	-0.5637	-0.8485	0.2921	-0.3795	-1.2403	0.0948	-1.206	-0.9617	-0.859	-1.3046	-0.753	-1.4116	-4.482	-1.4454	-0.9199	0.0958	-1.3023	-1.1972	-0.1104	-0.7123	-0.6966	-0.3041	-1.0346	-0.7779	-0.9826	-0.4228	-0.6844	-1.7956	-1.9771	-2.3589	-2.6621	-1.7318	-1.7399	-1.4741	-1.2806	-1.9672	0.0001	0.0312	0.0512	0.6293	0.4599	0.746	0.2073	-0.2153	0.4259	0.6267	0.5217	0.3582	1.1597	1.4296	-0.3411	-3.3524	-1.7018	-2.9331	0.2077	0.3733	0.4405	-0.0662	-0.5341	0.149	0.19	0.4606	1.1743	-0.677	-1.0965	-0.4485	0.6388	0.5404	0.5746	-1.4631	-0.7625	-0.7766	-0.4932	0.3933	0.6962	0.6716	0.0263
gyrA	BSU00070	6994	9459	6993	9458	1	TRUE	TRUE	-	-	-	0.1707	-0.2986	-0.0769	-0.4292	-0.9424	-1.2182	0.3447	0.057	-0.4725	0.3083	-0.2296	-0.6825	-0.4639	-0.6461	-0.5789	-0.9679	-4.6435	-1.2428	-0.9524	0.2636	-0.8978	-0.9954	0.0213	-0.4227	-0.2358	-0.4181	-0.6499	-0.624	-0.6268	-0.5457	-0.6991	-1.5671	-2.034	-2.2618	-2.4316	-1.4412	-1.8232	-1.3586	-1.3271	-1.9931	0.3851	0.2046	-0.1626	0.8891	0.5204	0.3474	0.2548	-0.0509	-0.186	0.2867	0.2608	0.1344	1.5269	1.227	0.6661	-2.7783	-2.4975	-2.3644	-0.1379	-0.1784	-0.0828	-0.1423	-1.1502	0.0639	0.445	0.0865	0.6017	-0.8274	-0.8483	-0.9746	0.3193	0.0479	-0.6285	-0.6154	-0.0576	-0.7847	0.3411	0.7794	0.591	0.8713	0.0167
S7	new_9529_9614	9529	9614	9528	9613	1	TRUE	TRUE	Id260210_9	O_9	5'	0.5753	0.0053	0.1539	-1.0363	-1.22	-2.0408	-0.8228	-0.781	-1.2931	0.1475	-1.2786	-1.2762	-1.616	-0.4587	-1.0508	-3.3858	-5.5067	-2.5273	-1.131	2.3607	0.355	-1.372	1.3026	1.1238	-0.1812	0.3381	-0.7774	0.3612	0.0624	0.3888	-0.129	0.5663	-0.2139	-0.9854	-1.7358	-1.6671	-2.0177	-2.2725	-1.7057	-2.475	-1.683	0.6662	1.0102	-1.2267	-1.1982	-1.2708	-0.8432	-0.7124	-0.1055	0.2063	0.0847	-0.1857	-0.4944	-0.3729	-0.9662	-5.5417	-4.2804	-4.3361	-0.8403	-0.7096	-0.1879	-1.4627	-2.8655	0.2756	0.2104	0.5535	1.2648	-2.4511	-1.3178	-0.9533	0.183	0.1584	-0.3037	0.1018	-0.6146	-0.9023	0.2926	0.2131	0.8984	0.2154	-0.7419
S8	new_14811_15868	14811	15868	14809	15866	1	TRUE	TRUE	Id260210_11	O_11	inter	1.5828	-0.1969	0.9805	0.7746	-1.2121	-0.9767	0.9585	-0.4944	-1.1116	0.5578	-1.096	-0.806	0.6335	-0.9074	0.0501	0.1577	-1.1296	-0.7349	-1.8404	1.0895	0.5141	-2.4122	0.5069	1.3525	0.0739	0.1516	0.3275	1.2684	2.2322	2.9446	3.1019	2.4771	0.9012	0.5239	-0.2026	-0.1003	-0.9734	-0.387	-0.5457	-1.0311	1.0588	2.0716	2.0986	-0.4605	-0.2603	-0.7089	0.2554	0.6441	0.474	1.6665	1.2789	0.9085	1.9191	1.579	0.6813	-2.4947	-2.2483	-3.0893	0.4043	0.4255	0.0226	-0.4265	-2.2972	0.3546	-0.3297	-0.1281	-0.0776	-1.0064	-1.4898	-0.8588	1.9045	1.4928	-1.0272	-2.6494	-2.254	-2.994	0.4048	1.7536	0.814	0.6112	-0.9715
yaaC	BSU00080	14847	15794	14845	15792	-1	TRUE	TRUE	-	-	-	0.7149	0.431	-0.2439	1.5957	0.9461	-0.2373	1.6788	1.4438	2.4418	3.8309	3.3916	2.9115	4.5557	4.609	4.3581	4.263	3.0758	3.5922	2.3483	1.122	2.4274	2.1157	0.5848	2.8264	0.0196	-0.2233	-0.331	-0.2684	-0.1349	-0.3124	-0.4537	1.0055	0.3607	0.6152	0.6284	0.3291	0.1198	0.4013	0.4036	0.5804	0.5457	-0.1743	-0.085	0.3175	0.7037	0.5303	-0.1484	0.1679	-0.04	0.7764	0.1416	0.3137	0.1469	0.2929	0.0363	1.0753	1.0932	0.4505	1.102	1.4544	1.2703	0.2434	-1.0017	-0.1137	-0.2544	0.0331	-0.0031	0.5886	0.6319	1.0774	0.6149	0.338	0.8078	-0.0975	-0.4492	0.5372	-0.0496	-0.4823	-0.5729	-0.3419	0.2281
guaB	BSU00090	15915	17381	15913	17379	1	TRUE	TRUE	-	-	-	0.7939	0.2932	0.3866	0.3426	-0.0657	-0.375	-0.4261	-0.3535	-0.8562	-0.1383	-1.1647	-1.5062	-0.8925	-0.9921	-0.9081	-1.9056	-4.901	-2.2076	-1.1497	0.2685	-0.869	-0.8602	-0.4117	-0.8753	-0.4155	-0.3145	-0.4657	-0.4927	-0.4666	-0.5953	-0.6473	-1.0084	-2.4369	-2.8006	-2.3805	-1.4277	-1.7939	-1.3694	-1.1361	-1.6857	0.229	0.3369	0.2845	-0.29	-0.822	-0.7387	0.5133	0.1711	0.1023	0.5036	0.1782	0.079	-2.1369	-2.8124	-3.1202	-2.421	-2.9279	-2.2723	-1.575	-1.4263	-1.2957	-0.0764	0.7792	0.1701	0.6189	0.2796	0.5729	0.915	0.3025	0.4366	-0.2317	-0.9536	0.0733	0.5623	1.0931	0.1579	0.0665	0.5294	-0.0379	0.0532	-0.8664
S9	new_17238_17833_c	17238	17833	17236	17831	-1	TRUE	TRUE	Id260210_12	O_12	indep-Ext	0.2485	-0.0909	-0.8075	0.655	-0.0325	-1.2707	0.3132	-0.3256	0.1442	1.4068	1.1257	0.1173	1.5396	1.6576	1.1285	2.4402	0.9925	1.4931	0.8182	0.4015	0.4587	0.2049	-0.2423	0.794	0.3629	0.2573	-0.3179	0.1696	0.0795	-0.0378	-0.0392	0.6379	0.1545	0.3105	0.4116	0.2916	0.0112	0.3579	0.5301	0.388	4.7913	0.691	0.3056	1.1965	2.7584	0.8645	0.7524	1.0612	0.2924	2.0341	1.7602	1.7758	0.0776	-0.1292	0.1859	4.6136	4.0196	3.7123	2.6456	3.2725	3.1961	0.357	-1.3701	-0.0981	-0.2636	-0.2112	0.0523	0.7886	1.0051	2.0162	1.1398	1.1872	0.9252	0.143	0.1912	-0.0785	0.4074	0.2215	-0.3123	-0.0707	-0.7122
S10	new_17453_17533	17453	17533	17451	17531	1	TRUE	TRUE	Id260210_13	O_13	5'	0.8142	0.1759	1.34	0.6529	-0.9336	-1.6552	-0.0721	0.1869	-2.7823	0.9717	-1.2078	-1.4566	-1.0455	-0.4506	-0.083	-2.8621	-4.6887	-2.5189	-0.5711	1.7013	0.0422	-0.1208	1.4017	0.0847	-0.1725	-0.0501	-0.6282	-0.6971	-0.8822	-0.9467	-1.5862	-2.2884	-2.5426	-3.1231	-2.9561	-2.2517	-2.8445	-2.7457	-2.6587	-3.1639	-4.3419	0.001	0.0855	-1.739	-2.0339	-1.6392	-0.2016	-0.3812	-0.0057	-0.5106	-0.7656	-0.8457	0.4039	-0.2315	-0.7225	-5.8788	-5.3072	-5.4212	-1.8	-2.0189	-1.5943	-0.8313	-3.4095	0.357	0.365	-0.1215	0.4653	-3.3107	-2.1215	-1.7726	-1.3265	0.0118	-0.856	-2.2325	-1.2399	-1.9278	-0.2132	0.6138	0.4919	0.3407	-1.0162
dacA	BSU00100	17534	18865	17532	18863	1	TRUE	TRUE	-	-	-	0.3621	-0.7046	-0.3865	0.1668	-1.161	-1.3873	-0.2533	-0.9335	-2.3939	-0.243	-2.0048	-2.1439	-1.4748	-1.8826	-1.6444	-3.5026	-5.8939	-3.7412	-0.755	1.053	-0.0764	-0.1794	1.0231	0.237	-0.2034	-0.4092	-0.6705	-0.8162	-0.7486	-1.0521	-1.3267	-2.7096	-2.8759	-3.2406	-3.2214	-2.2977	-2.6669	-2.6131	-2.4459	-3.0229	-0.1875	-0.1254	-0.4431	-1.3121	-1.9601	-1.9891	0.071	-0.3123	-0.3497	-0.3102	-0.6551	-0.7144	0.3306	-0.4602	-0.7581	-4.5223	-4.4212	-4.1906	-1.5182	-1.5343	-1.4451	-0.3646	-3.2856	0.117	0.1055	-0.1532	0.4971	-3.1686	-2.1303	-1.91	-1.3111	-0.4096	-1.2008	-2.093	-1.3233	-1.7553	-0.0694	0.6134	0.3033	0.18	-0.7369
S11	new_18866_18974	18866	18974	18864	18972	1	TRUE	TRUE	Id260210_14	O_14	inter	0.9115	-0.679	-0.2638	0.6761	-0.6482	-1.1516	-0.0091	-0.6615	-2.2252	0.1949	-1.5603	-1.6922	0.0361	-0.7558	-0.214	-0.9438	-4.5407	-1.5746	-0.0237	1.2179	0.2419	0.3272	0.7827	0.4381	-0.3425	-0.77	-0.7061	-0.9606	-1.0948	-1.412	-1.4076	-3.1207	-3.2718	-3.5518	-3.4516	-2.6834	-2.9334	-2.702	-2.7417	-3.2324	-0.5117	-0.4213	-0.9827	-0.8808	-1.4914	-1.7252	0.0028	-0.2716	-0.4964	-0.514	-0.3613	-0.6639	0.017	-0.3932	-0.5998	-4.2737	-3.9139	-3.938	-1.4272	-1.1694	-1.3999	-0.3964	-2.6236	-0.0437	0.2034	-0.3363	0.3365	-2.6676	-1.9473	-1.6194	-1.2799	-1.0943	-0.9365	-1.2527	-0.6119	-1.6676	-0.361	0.5736	0.6584	0.2653	-0.8631
S12	new_18976_19061	18976	19061	18974	19059	1	TRUE	TRUE	Id260210_15	O_15	5'	1.5061	-0.7005	1.0146	0.6194	-0.4893	-1.4097	0.0617	-0.3321	-1.6357	0.7972	-1.9493	-0.8802	0.0053	-1.567	0.0576	-1.1994	-3.1326	-1.5987	-0.7757	0.6769	-0.1877	-0.7589	0.2787	-0.1145	-0.0439	0.0105	-0.1689	-0.2339	-0.6799	-0.9664	-0.859	-2.5231	-2.6914	-2.9747	-2.9928	-1.7762	-2.3311	-2.1001	-2.1394	-3.152	-1.513	-0.098	0.0501	-2.2524	-1.7567	-1.2298	-0.0529	-0.5787	-0.8061	-0.8404	-0.7077	-1.0704	-1.0185	-1.6098	-1.5707	-3.1996	-2.7239	-1.5498	-2.0685	-2.3728	-1.9853	0.353	-1.1926	0.1934	-0.5145	-0.0364	0.0625	0.0951	-0.7807	-0.2247	-0.6157	-1.7551	-1.6402	-1.0463	1.3974	-2.1445	-0.3807	1.7183	0.8597	0.5862	-1.1808
pdxS	BSU00110	19062	19946	19060	19944	1	TRUE	TRUE	-	-	-	0.8231	-0.0967	0.5081	-0.4891	-0.568	-0.9638	-0.4348	-0.3943	-1.5197	-0.4253	-1.6101	-1.6042	-1.3413	-1.1215	-1.0443	-2.3589	-3.5272	-2.6504	-0.6947	0.437	-0.8277	-0.7047	0.0606	-0.6974	-0.132	-0.1558	-0.2967	-0.46	-0.6383	-0.9248	-0.9073	-2.4768	-2.8247	-3.0952	-3.072	-2.0133	-2.5984	-2.4666	-2.213	-3.1791	-0.4717	-0.153	-0.0762	-0.3868	-0.5308	-0.7363	-0.22	-0.5174	-0.6051	-0.3267	-0.2859	-0.6306	-0.4312	-0.883	-1.2911	-1.616	-2.0262	-1.2532	-2.2086	-2.2618	-1.941	-0.2205	-1.0112	0.1826	0.7191	0.3603	0.8714	0.4969	-0.6857	-0.5367	-0.3908	-1.2941	-1.2658	-0.4351	0.4655	-0.5786	-0.4778	0.5969	-0.235	0.1425	-1.064
